BTC-ETH
timestamp,bid5,bid4,bid3,bid2,bid1,ask1,ask2,ask3,ask4,ask5,bidQty5,bidQty4,bidQty3,bidQty2,bidQty1,askQty1,askQty2,askQty3,askQty4,askQty5
2018/11/16_23:14:30,0.03126,0.031263,0.031264,0.031268,0.031269,0.031284,0.031285,0.031287,0.031288,0.031297,10.097,10.0,12.159,22.812,4.557,6.1,0.079,1.701,0.605,8.092
2018/11/16_23:15:00,0.03124,0.031241,0.031247,0.031252,0.031266,0.031269,0.031271,0.031283,0.031285,0.031297,34.693,12.8,0.335,0.131,1.294,1.163,0.639,11.0,0.079,8.092
2018/11/16_23:15:30,0.031274,0.031276,0.031283,0.031289,0.03129,0.031324,0.031326,0.031328,0.031333,0.031349,1.622,73.996,5.747,5.758,1.915,4.0,7.294,15.983,0.261,2.955
2018/11/16_23:16:00,0.031277,0.031292,0.031302,0.031306,0.031307,0.031317,0.031318,0.03132,0.031322,0.031333,3.081,8.0,6.862,1.084,1.915,1.915,10.0,34.0,9.044,3.216
2018/11/16_23:16:30,0.031285,0.031292,0.031308,0.031309,0.031318,0.03133,0.031331,0.031332,0.031333,0.031349,4.791,8.0,13.358,27.0,12.021,2.175,23.0,10.0,0.261,2.955
2018/11/16_23:17:00,0.031319,0.03132,0.031323,0.031324,0.031325,0.031332,0.031333,0.031349,0.03135,0.031353,14.899,7.528,11.914,29.0,0.757,10.0,0.261,2.955,3.099,6.204
2018/11/16_23:17:30,0.031292,0.031303,0.031319,0.03132,0.031326,0.03133,0.031343,0.031347,0.031348,0.03135,8.0,4.788,14.899,10.604,5.448,6.948,0.293,2.955,10.0,3.099
2018/11/16_23:18:00,0.031279,0.031292,0.031302,0.03132,0.031326,0.031334,0.031337,0.031347,0.031348,0.03135,28.279,8.0,4.788,10.604,4.967,18.0,0.293,2.955,10.0,3.099
2018/11/16_23:18:30,0.031306,0.03132,0.031326,0.031328,0.031329,0.031344,0.031345,0.031347,0.031348,0.03135,4.787,10.604,4.967,15.024,2.947,9.276,0.429,2.955,10.0,3.099
2018/11/16_23:19:00,0.031292,0.031312,0.031326,0.031337,0.031338,0.03134,0.031348,0.03135,0.031353,0.031362,8.0,4.786,4.967,24.838,1.508,6.919,10.0,3.099,6.204,0.701
2018/11/16_23:19:30,0.03135,0.031353,0.031355,0.031361,0.031362,0.03138,0.031381,0.031403,0.031407,0.031408,4.592,10.0,47.992,6.042,11.734,10.0,4.573,2.955,25.39,15.953
2018/11/16_23:20:00,0.031355,0.031369,0.03137,0.031371,0.031376,0.03138,0.031381,0.031416,0.031417,0.031418,1.0,10.0,0.754,27.0,0.55,2.106,4.573,2.955,19.269,13.0
2018/11/16_23:20:30,0.031348,0.03135,0.031351,0.031353,0.031354,0.031361,0.031362,0.031363,0.031375,0.031376,0.051,8.009,0.1,5.794,1.82,0.06,6.955,0.754,2.955,10.099
2018/11/16_23:21:00,0.03134,0.031348,0.031351,0.031353,0.031361,0.031362,0.031363,0.031375,0.031376,0.031377,8.012,0.051,0.1,3.529,18.169,1.67,0.32,3.113,10.099,2.035
2018/11/16_23:21:30,0.031353,0.031361,0.031362,0.031372,0.031376,0.031377,0.031378,0.03138,0.031381,0.031389,3.529,0.509,1.944,18.639,3.078,0.035,0.072,2.106,4.573,2.417
